time,rmr_mean,em_mean,rmp_mean,rmq_mean,rmt_mean,mg3_mean,mg2_mean,mg1_mean,et_mean,rmm_mean,zmm_mean,zmr_mean,rmg2_mean,zmp_mean,zmq_mean,zmt_mean,rmg3_mean,g3_mean,g2_mean,g1_mean,rmg1_mean,mt_mean,mm_mean,q_mean,p_mean,si_mean,mq_mean,mp_mean,mr_mean,r_mean,a_mean,rmr_std,em_std,rmp_std,rmq_std,rmt_std,mg3_std,mg2_std,mg1_std,et_std,rmm_std,zmm_std,zmr_std,rmg2_std,zmp_std,zmq_std,zmt_std,rmg3_std,g3_std,g2_std,g1_std,rmg1_std,mt_std,mm_std,q_std,p_std,si_std,mq_std,mp_std,mr_std,r_std,a_std
0.0,636.8834140344209,6280.763121336224,0.0,2003.0823195737612,54.60276858689582,33.92397566889606,37.6933062987734,41.462636928650745,6280.763121336222,54.60276858689582,0.0,0.0,148.7127141224572,0.0,0.0,0.0,133.8414427102115,1644.6856251027064,1827.4284723363403,2010.1713195699745,163.58398553470295,13.839831336896449,13.839831336896449,230407.46627633093,0.0,128.40457623652202,507.70908095442775,0.0,52.88591040094063,13.433165820886776,9.183255033838888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,2.9103830456733704e-11,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0
1.0,639.2845033919577,6268.93124875535,0.0,2004.7297181908373,54.60276858689582,30.12397566889606,33.6933062987734,38.06263692865075,6269.827309586822,54.20276858689582,0.0,0.0,138.31271412245718,0.0,0.0,0.0,122.84144271021152,1598.4638453425205,1779.542150389043,1958.1567879871411,152.38398553470296,13.43983133689645,14.03983133689645,230012.3410811986,0.0,128.40457623652202,500.3556624190863,0.0,55.28591040094064,12.833165820886776,7.583255033838888,14.552352950934688,4.5196810279334,0.0,7.430028645263078,1.7888543819998317,0.9797958971132712,0.6324555320336759,1.3564659966250536,3.273663161053746,2.1540659228538015,0.0,0.0,2.9393876913398134,0.0,0.0,0.0,2.9664793948382653,11.712390047832859,9.706702835790749,17.981037940507942,6.144916598294887,0.48989794855663565,0.39999999999999997,32.11677620602195,0.0,0.0,6.499710908304001,0.0,1.019803902718557,0.48989794855663565,0.48989794855663565
2.0,643.6845351891195,6259.258041574367,0.0,2010.623548040036,54.40276858689582,25.523975668896064,30.493306298773398,34.862636928650744,6259.5808310547345,54.60276858689582,0.0,0.0,125.91271412245719,0.0,0.0,0.0,107.04144271021153,1531.3094095778638,1718.2760512309255,1901.1815686649666,143.58398553470295,13.43983133689645,13.63983133689645,229675.13127211604,0.0,128.40457623652202,491.07546582603845,0.0,54.085910400940634,13.233165820886777,7.783255033838889,23.171896977323055,7.6661933743597945,0.0,18.17622820956898,4.069397989875161,1.3564659966250536,1.16619037896906,1.8547236990991407,10.906975424652908,1.7888543819998317,0.0,0.0,5.0358713248056635,0.0,0.0,0.0,2.9257477676655586,10.66946349709162,11.6741597369043,20.59427594876375,3.286335345030997,0.7999999999999999,0.7483314773547883,53.12337261199504,0.0,0.0,17.281418555813453,0.0,0.9797958971132712,0.4,0.48989794855663565
3.0,639.8031714069475,6255.601771815176,0.0,2004.9253719458447,52.80276858689582,22.923975668896063,26.6933062987734,31.462636928650745,6247.561483333171,56.60276858689582,0.0,0.0,113.71271412245719,0.0,0.0,0.0,97.64144271021152,1459.808594962513,1646.6652402263499,1836.4578459773973,133.18398553470294,12.839831336896449,13.639831336896453,229385.03906621196,0.0,128.604576236522,494.52634231799937,0.0,53.48591040094063,13.233165820886777,7.983255033838889,31.75349391534962,13.18864606767084,0.0,20.919864746383126,5.635601121442148,1.2649110640673518,2.0,1.8973665961010275,21.903522522345845,2.1908902300206643,0.0,0.0,7.615773105863909,0.0,0.0,0.0,6.939740629158992,16.87993790747922,23.928514984610484,21.749950163199614,4.586937976471882,1.4142135623730951,0.7483314773547888,73.33224766090223,0.0,0.4,18.854580187674454,0.0,0.4898979485566356,0.7483314773547882,0.39999999999999997
4.0,646.7272697784115,6250.1008828759805,0.0,2016.1330749283807,52.40276858689582,21.723975668896063,24.0933062987734,29.462636928650745,6235.398105126811,55.40276858689582,0.0,0.0,102.91271412245719,0.0,0.0,0.0,91.0414427102115,1387.2682865514714,1565.4587230776365,1763.0273576069044,123.18398553470297,13.03983133689645,14.039831336896452,229148.7467441705,0.0,128.204576236522,482.8689142958074,0.0,52.88591040094063,13.633165820886777,7.983255033838889,38.020195518548746,20.870599332431514,0.0,24.506986305836996,4.707440918375928,2.0396078054371136,2.1540659228538015,2.6832815729997477,31.80327574846929,3.3105890714493698,0.0,0.0,9.019977827023741,0.0,0.0,0.0,9.3680307429043,30.286207857850734,37.122985471856204,23.195484440516317,4.498888751680798,1.5999999999999999,1.4696938456699071,110.29123852873907,0.0,0.39999999999999997,21.462432486351975,0.0,0.8944271909999159,0.7483314773547883,0.39999999999999997
5.0,648.1485981729755,6247.117943997274,0.0,2019.3655427558092,53.80276858689582,19.523975668896064,21.8933062987734,26.262636928650743,6227.748113800668,56.00276858689582,0.0,0.0,94.31271412245721,0.0,0.0,0.0,84.6414427102115,1313.1112102254717,1479.2645291749964,1678.2589840935975,112.18398553470297,12.23983133689645,13.439831336896452,228953.29708866792,0.0,128.204576236522,479.86043524360093,0.0,52.685910400940635,13.633165820886777,7.783255033838889,44.43189914316022,32.72580773208885,0.0,32.11939722494142,5.114684741017769,1.019803902718557,2.315167380558045,2.1354156504062622,40.934896003106715,5.388877434122992,0.0,0.0,8.404760555780271,0.0,0.0,0.0,5.878775382679632,34.08407172883564,44.54303205551714,28.634062549236518,4.841487374764082,1.624807680927192,1.8547236990991414,149.29283623644457,0.0,0.7483314773547882,27.935117970761098,0.0,0.9797958971132712,0.7483314773547883,0.48989794855663565
6.0,650.3070890743136,6243.419668680324,0.0,2028.9301441204939,53.60276858689582,18.123975668896062,19.8933062987734,23.662636928650745,6220.17966132366,55.40276858689582,0.0,0.0,85.91271412245722,0.0,0.0,0.0,78.84144271021151,1241.6804747547333,1392.9486300267968,1587.0970856133965,100.58398553470296,12.639831336896451,13.039831336896452,228804.25524364476,0.0,127.80457623652201,472.05501508795606,0.0,51.48591040094063,14.033165820886776,7.983255033838889,37.672040430092544,41.27902446770797,0.0,34.76909372424826,4.1952353926806065,0.7483314773547882,2.1354156504062622,2.7129319932501073,45.30113488032536,4.833218389437829,0.0,0.0,7.440430095095304,0.0,0.0,0.0,4.979959839195493,35.09383608882128,49.174300870470155,36.992792662439676,5.0990195135927845,1.3266499161421599,1.7204650534085255,190.57154310169372,0.0,0.48989794855663565,30.13416017738217,0.0,0.8,0.7999999999999999,0.7483314773547883
7.0,654.0571668726326,6243.60335732962,0.0,2038.6308596635085,55.60276858689582,16.32397566889606,18.2933062987734,20.462636928650745,6217.362675419825,57.20276858689582,0.0,0.0,82.91271412245722,0.0,0.0,0.0,71.2414427102115,1168.881693344179,1317.3738902707578,1491.7548726873897,89.58398553470295,13.03983133689645,13.239831336896453,228685.3544879943,0.0,127.604576236522,465.3399658192796,0.0,50.48591040094064,14.433165820886776,8.183255033838888,36.95576839253711,48.30682620839301,0.0,35.18231421298822,5.291502622129181,1.0198039027185564,2.2449944320643644,2.8284271247461903,53.899369917757724,5.4258639865002145,0.0,0.0,10.007996802557438,0.0,0.0,0.0,5.678027826631356,35.1602140871014,55.43525339601231,45.976722825586855,6.066300355241247,1.5999999999999999,1.3564659966250538,237.26401554051455,0.0,0.7483314773547882,29.790313923381213,0.0,0.7999999999999999,0.8944271909999163,0.6324555320336759
8.0,656.1405838443172,6250.912956273773,0.0,2038.3004739376531,55.60276858689582,14.723975668896065,16.8933062987734,17.862636928650744,6215.275510417269,60.00276858689582,0.0,0.0,74.71271412245721,0.0,0.0,0.0,66.6414427102115,1101.1697119280257,1240.2390603733177,1393.8227630537422,79.38398553470294,12.639831336896451,13.639831336896453,228593.6630646327,0.0,127.80457623652201,469.02588012364276,0.0,50.68591040094064,14.433165820886776,8.38325503383889,30.19768264816561,54.88984381155645,0.0,32.344738918809036,5.692099788303083,0.7483314773547882,1.4696938456699067,1.7435595774162698,61.43086326924197,7.391887445030532,0.0,0.0,9.736529155710462,0.0,0.0,0.0,5.2687759489277965,37.78481260987146,61.65241864957838,45.99391272765884,2.9257477676655586,1.1661903789690602,1.469693845669907,291.55369643238987,0.0,0.7999999999999999,25.930457514229282,0.0,1.16619037896906,0.8944271909999163,0.4
9.0,655.7313142594203,6259.987404886283,0.0,2041.3305133998008,55.60276858689582,14.123975668896065,15.293306298773398,17.262636928650743,6213.604424353895,60.80276858689582,0.0,0.0,69.71271412245721,0.0,0.0,0.0,62.64144271021151,1036.7191741352906,1165.7429998164816,1304.5458384535045,75.18398553470294,12.639831336896451,13.839831336896452,228525.7249007717,0.0,127.204576236522,469.46945429493917,0.0,50.48591040094064,14.433165820886776,8.38325503383889,38.69454558746163,64.48186899429156,0.0,39.58035402872208,4.516635916254486,0.9797958971132713,1.7435595774162693,2.2271057451320093,64.44492198620847,8.37615663654877,0.0,0.0,8.740709353364863,0.0,0.0,0.0,6.764613810115105,36.265112583172936,60.62512429507461,54.97277771785814,6.343500610861482,0.7483314773547882,1.8973665961010273,332.32612884710045,0.0,1.16619037896906,32.4563874021283,0.0,1.2000000000000002,0.8944271909999163,0.7483314773547883
10.0,643.7296545512287,6269.514119718364,0.0,2032.7835058015407,58.40276858689582,13.723975668896065,14.693306298773399,15.662636928650745,6219.197888115558,60.40276858689582,0.0,0.0,64.51271412245721,0.0,0.0,0.0,58.64144271021151,975.1782617566394,1093.3415823577252,1218.434434143384,69.18398553470294,13.839831336896449,13.639831336896453,228485.87640629633,0.0,127.604576236522,480.87036464616267,0.0,50.48591040094064,14.033165820886776,8.38325503383889,45.6812080764388,81.81535157244492,0.0,47.32611232571276,6.64529909033446,0.9797958971132713,1.8973665961010275,1.9390719429665322,65.28130925792031,10.796295661012625,0.0,0.0,11.54816002660164,0.0,0.0,0.0,7.626270385975047,40.69803979363227,65.63208622759478,57.91145194400944,4.029888335921977,0.6324555320336759,2.227105745132009,394.0202456045312,0.0,1.6,39.001520249083434,0.0,0.4898979485566356,1.0198039027185577,0.9797958971132713
