model,species_index,species_name,mean_total,std_total,cv_total,madydt_total,min,max,minmax_ratio,final_mean,final_std,final_cv,final_madydt,final_value,initial_mean,label
model_A1_deterministic,0,Y0,1392809.332729249,389601.7764149441,0.2797236974651142,822.3472803497331,2000.0,1639037.108579339,0.0012202286266316032,1635497.7557480233,445.2480576316637,0.0002722400908633603,15.391189787246867,1634734.01081506,116568.73090778742,0
model_A1_deterministic,1,Y1,2310694.542670527,722619.8297751894,0.31272840976204486,1444.3995150288451,3000.0,2887651.788123442,0.0010389064264391687,2884674.9060724354,1824.6957829548523,0.0006325481526926117,63.192201089145875,2887651.788123442,164571.44304246586,0
model_A1_deterministic,2,Y2,2356242.6162650343,686520.1737871331,0.2913622600016297,1419.9125576310987,2500.0,2837177.079664013,0.0008811575484375683,2836484.306266978,442.78443637031495,0.00015610325620064926,15.340011633454615,2837177.079664013,186213.16896070872,0
model_A1_deterministic,3,Y3,2146485.9796759877,707116.6180895101,0.32942987971263127,1383.9231542524035,2800.0,2767327.3136884323,0.001011806585419063,2761967.737744474,3253.5722932505087,0.0011779906943835258,112.65653688862379,2767327.3136884323,141739.71210797894,0
model_A1_deterministic,4,Y4,1581756.5718266654,451812.62192659377,0.28563979437419085,940.81792372924,3500.0,1880856.9407038873,0.0018608539141154296,1880468.81354352,155.28049645562191,8.257541701157717e-05,5.332934358729407,1880182.5745252615,129627.6288067731,0
model_A1_deterministic,5,Y5,3373207.3706735913,1141393.6604136075,0.3383704394626898,2206.5168376046067,4000.0,4412274.513776864,0.0009065619075854009,4402169.578938666,6126.903561404963,0.001391791808911214,212.1400174564772,4412274.513776864,212886.57147898435,0
model_A1_deterministic,6,Y6,1891251.7121300276,545555.2928792825,0.28846255069075355,1132.02033603241,3200.0,2263025.643926107,0.0014140361195590979,2262891.2393492176,102.75864548174627,4.541033333590461e-05,3.533414210024889,2263025.643926107,152350.86282864143,0
model_A1_deterministic,7,Y7,2485369.0219219932,799377.4591250572,0.32163330759907843,1578.52262658763,3600.0,3156534.942925823,0.0011404910970708678,3151924.010295132,2810.929496550017,0.0008918138531794153,97.33720860024471,3156534.942925823,170089.8593412739,0
model_A1_deterministic,8,Y8,2148236.8406831315,653147.0872063269,0.30403867713144167,1321.9994563961154,3300.0,2643132.2562330174,0.0012485186816580827,2641409.2606627312,1066.1680262778598,0.00040363605979421664,36.928605469858894,2643132.2562330174,159931.60497205795,0
model_A1_deterministic,9,Y9,2373639.748469506,717017.8255258928,0.3020752521473476,1456.3684394497716,2900.0,2910940.164199056,0.0009962417076332913,2909207.619660012,1073.709582200263,0.00036907286195192327,37.19102199220438,2910940.164199056,177895.95127226334,0
model_A1_deterministic,10,Y10,2756568.928582405,878799.6388660436,0.31880198233170093,1741.8243365884184,3100.0,3482067.8011716576,0.0008902755997332684,3477525.2444719523,2774.0332305240336,0.000797703261804864,96.06269808713392,3482067.8011716576,190332.8151951501,0
model_A1_deterministic,11,Y11,3110520.888529855,1045232.5392656213,0.33603135189348826,2026.8158220526614,3400.0,4052535.882969264,0.0008389808500619235,4043694.5287192655,5363.20387746845,0.0013263128160096466,185.69929723892974,4052535.882969264,198264.42177517002,0
model_A2_mapk_deterministic,0,Y0,9862.759962255946,739.3278425103566,0.0749615569414352,4.112467474137318,2000.0,10000.000001295055,0.19999999997409895,9999.999999987922,1.8551936508351712e-09,1.8551936508374117e-13,8.134100426104905e-11,9999.999999992902,5733.456355134434,0
model_A2_mapk_deterministic,1,Y1,565.5238076146985,865.162883424561,1.5298434332476598,6.594746087736959,443.1860149512172,9087.828175026978,0.048766988813573435,443.1860150187364,2.499140545133868e-10,5.63903295781616e-13,8.550921961614263e-12,443.1860150192676,5205.645357174808,0
model_A2_mapk_deterministic,2,Y2,29286.566025504646,2033.9868273536442,0.06945118883457747,11.87643113445979,6000.0,29545.73433467707,0.20307499999950773,29545.73433460586,2.7935555786614097e-10,9.45502165227763e-15,9.60390025284146e-12,29545.734334605255,19328.414018240062,0
model_A2_mapk_deterministic,3,Y3,569.0877360593228,1359.7729369602814,2.389390687587289,13.734309168884344,419.4913716149191,17145.47283197889,0.02446659685188183,419.491371616012,3.549005552722303e-12,8.460258763012013e-15,1.2107193470001278e-13,419.49137161601953,6400.313682378681,0
model_A2_mapk_deterministic,4,Y4,49279.57514773633,2928.433254889114,0.059424888427099844,20.633108047046573,9000.0,49576.722485705504,0.18153680898520427,49576.722485704384,4.365574568510055e-12,8.805694183936591e-17,1.0913936421275138e-13,49576.722485704384,37693.92561093103,0
model_A3_glycolysis_reduced,0,Y0,431393.05007484363,293634.11542649317,0.6806649188612328,838.733291427776,330631.851377145,2000000.0,0.16531592568857248,330634.51521147275,1.6017298302965426,4.844412051996693e-06,0.05545335486403156,330631.851377145,1772099.791425377,0
model_A3_glycolysis_reduced,1,Y1,173178.69202888155,84256.67761300111,0.48653028052059294,179.06677667000096,141664.91604685364,500000.0,0.28332983209370727,141664.9299936517,0.0085446482971966,6.031590385552377e-08,0.00029594286193518267,141664.91604685364,493801.3251220786,0
model_A3_glycolysis_reduced,2,Y2,8048523.880622541,2637239.552588173,0.3276674818518631,5426.5895355017155,250000.0,11087086.757117117,0.022548754733926646,11019661.062014466,40358.23778087156,0.0036623846735167925,1397.0769612866281,11087086.757117117,853421.8680133884,0
model_A3_glycolysis_reduced,3,Y3,17402.005365410812,4413.598204469404,0.25362583861984755,69.44872650308137,1966.680915511593,100000.0,0.019666809155115938,17643.218977688375,0.02804509391282211,1.5895678644746149e-06,0.0009710647837342572,17643.172509639062,11754.354132728258,0
model_A3_glycolysis_reduced,4,Y4,27014.877140821227,9044.564818655563,0.3347994059535677,96.19434355683246,2875.2932610162193,154717.60493390705,0.0185841376115181,27012.92008041695,0.047230244018805954,1.748431634869626e-06,0.00163534184511624,27012.841826941014,32589.866162189355,0
model_A3_glycolysis_reduced,5,Y5,7206320.718740729,3054721.9166459953,0.4238948051121147,5229.123743526298,500000.0,10934648.070189634,0.04572620872573988,10849116.234162712,51196.249136686034,0.004718932679094588,1772.2555331552094,10934648.070189634,814243.9868342122,0
model_A3_glycolysis_reduced,6,Y6,1150893.1965297223,336205.5073493642,0.2921257231888429,1417.9635255197009,964450.254633157,3326488.1215227474,0.28993046702708986,1087977.1306428192,19.22918711622017,1.767425672344677e-05,0.6657263154323857,1088009.1209318778,2999752.7003117944,0
model_A4_LotkaVolterra,0,Y0,197321.4951269389,217374.88112469018,1.1016279852575144,3929.8638893269317,22531.475852378488,713613.8850143057,0.03157376324302715,448150.08238457335,191789.65661450673,0.42795854369591585,6413.788313189131,639634.7588118471,79535.53574184397,0
model_A4_LotkaVolterra,1,Y1,24457.011618664554,23987.9669264073,0.9808216678484424,439.8882370990155,3795.6755719274747,80000.0,0.04744594464909344,11073.329357377974,10674.847676090812,0.9640142843740431,429.8581734284669,44783.39114917873,64259.18214280743,0
model_B2_repressilator_low,0,Y0,2.335952479487776,1.6196895039708414,0.6933743379596964,0.04185223214350209,0.445270044962982,5.922062733732031,0.07518833639293476,1.212042521671934,0.9983658615813146,0.8237053104401898,0.03873496884481658,0.657887017698438,3.4111544585482068,1
model_B2_repressilator_low,1,Y1,98.37923658904913,40.55142982183283,0.4121950040253343,1.0752898061299496,10.0,179.93014462507583,0.055577124226950145,95.09387133871388,43.78529164532962,0.4604428343165332,1.3453339950936145,40.904062757278965,93.75440447240204,1
model_B2_repressilator_low,2,Y2,2.337399389141825,1.6152752821893757,0.6910566032028151,0.04282734737904073,0.4453430019222979,6.498714685323692,0.06852785873627679,2.0393219359050017,1.6274460899221799,0.7980329448077852,0.0507059353970408,5.448993284947629,3.321717270385668,1
model_B2_repressilator_low,3,Y3,97.2173512129085,40.185425345911526,0.41335651346747765,1.09004025699869,8.0,179.90879380494601,0.0444669759093289,67.01272351319311,29.906633760378963,0.4462829175192478,1.1979152712657715,140.40506629356696,93.71852113171995,1
model_B2_repressilator_low,4,Y4,2.390952373191162,1.6163490852460922,0.6760273033327316,0.04324133443193325,0.44544827747468907,5.922502957097547,0.07521284171615097,4.228946702545326,1.3872721127969136,0.3280419949396884,0.07612126397871068,1.4083985239253607,2.7192895605624976,1
model_B2_repressilator_low,5,Y5,99.18574295280175,40.98505890115132,0.4132152230855794,1.071905088214794,12.0,179.94584413674067,0.06668673043030739,146.16888449266088,30.03878716773057,0.20550739832210055,1.60519468124442,126.10664101638437,80.54357130201747,1
model_B3_toggle_switch_faithful,0,Y0,0.31650552837770785,0.22615765238678878,0.7145456622678159,0.0027420338000966014,0.18903113990129244,5.0,0.03780622798045093,0.3040018008756668,3.013586025162217e-13,9.913053200578986e-13,1.8747444707756356e-14,0.3040018008764856,0.982065656670092,1
model_B3_toggle_switch_faithful,1,Y1,257.2390090000591,14.71586793889151,0.05720698425987199,0.130300048545135,200.0,346.8330347805478,0.5766463397194754,253.33483406675776,1.0747846657921958e-10,4.2425459165594604e-13,6.836521038167162e-12,253.3348340664714,323.09138151847503,0
model_B3_toggle_switch_faithful,2,Y2,0.31650552837770785,0.22615765238678878,0.7145456622678159,0.0027420338000966014,0.18903113990129244,5.0,0.03780622798045093,0.3040018008756668,3.013586025162217e-13,9.913053200578986e-13,1.8747444707756356e-14,0.3040018008764856,0.982065656670092,1
model_B3_toggle_switch_faithful,3,Y3,257.2390090000591,14.71586793889151,0.05720698425987199,0.130300048545135,200.0,346.8330347805478,0.5766463397194754,253.33483406675776,1.0747846657921958e-10,4.2425459165594604e-13,6.836521038167162e-12,253.3348340664714,323.09138151847503,0
model_B4_lambda_phage_low,0,m_cI,5.911014904569194,1.1225351387963245,0.1899056518921004,0.003882874753174317,0.7963909026342645,6.232815561138196,0.12777385995514762,6.232815561127072,5.446206940275961e-15,8.737956204322941e-16,3.5525360431165836e-16,6.232815561127061,1.3003257950857756,1
model_B4_lambda_phage_low,1,p_cI,107.69816084248643,21.405179262028184,0.19875157657830442,0.05922324725573794,19.36885117272213,114.2682852881732,0.16950329764620736,114.26828528732814,4.262545812603076e-13,3.7302964701752965e-15,2.479694671819756e-14,114.2682852873286,28.61398354709434,1
model_B4_lambda_phage_low,2,m_Cro,0.055633359939859225,0.20035851064221036,3.6014094934262557,0.0016435253457058197,0.017184438872360017,3.0,0.005728146291118096,0.017184438872944838,1.0874045997147742e-16,6.327844672097525e-15,5.29062904597314e-18,0.017184438872945143,0.9937166548633695,1
model_B4_lambda_phage_low,3,p_Cro,1.0769320119127175,3.0265560625923857,2.8103501698442126,0.018487038980530328,0.31504804595968866,22.57854288278088,0.013953426826358244,0.315048046004063,2.557770250579571e-14,8.118667241435506e-14,1.4360179712014158e-15,0.31504804600404174,16.879764678316246,1
model_B5_I1FFL,0,Y0,2.501515388935355,0.02124614818919097,0.008493311007862653,0.00029095229371704323,2.5,3.0,0.8333333333333889,2.5,0.0,0.0,0.0,2.5,2.560612832881582,1
model_B5_I1FFL,1,Y1,1188.0638904893244,186.0290272255115,0.15658166931484815,0.6265374843741013,10.0,1249.9999974628495,0.008000000016238558,1249.9999957123264,1.2238325334686087e-06,9.790660301332188e-10,4.287312661745097e-08,1249.9999974628495,273.4827558714866,0
model_B5_I1FFL,2,Y2,2.2366749241032737,0.06568589865949345,0.029367655510243104,0.0009374904655712383,1.299694646075299,2.244827916458379,0.5789729522458108,2.2448279164431653,1.0635971763291785e-11,4.737989796625165e-12,3.72599724407508e-13,2.244827916458379,1.9469920167149306,1
model_B5_I1FFL,3,Y3,1061.990999157981,179.22621163779365,0.16876434148678876,0.5623047223830916,5.0,1122.4139555200502,0.004454684455241237,1122.4139536532907,1.3040828500068404e-06,1.161855521986557e-09,4.5679204822590766e-08,1122.4139555200502,189.45260867671163,0
model_B5_I1FFL,4,Y4,0.01816462617354195,0.12844941541513888,7.071404287700841,0.0011309354179589051,0.0024203677990303077,2.0,0.0012101839000145487,0.002420367809594701,7.380074340172116e-12,3.049154061571651e-09,2.5850803109673425e-13,0.0024203677990303077,0.6059136063829123,1
model_B5_I1FFL,5,Y5,8.740068063152966,20.83770550036858,2.3841582639631094,0.1130278010840396,1.2101843968517747,112.10575770855297,0.010795024462516385,1.2101847383033593,2.3801429985901712e-07,1.9667600517959674e-07,8.334448245552751e-09,1.2101843968517747,89.13254062439742,1
host_odes,0,iS,0.12880021687478502,4.070983464855224,31.6069612583128,0.09650356249343267,0.0,128.800216874785,7.763962082239013e-15,1.768759882413534e-51,3.256874401972026e-51,3.256874401972026e-39,2.929762778334399e-52,0.0,5.1520086749914,1
host_odes,1,ee,3349783.801178142,25212063.215268783,7.526474755296603,212931.69787287252,2.9973178922976096e-22,399857681.007136,2.5008898110472597e-21,1.9335264042235083e-21,1.602986692331014e-21,1.602986689231597e-09,6.058535853961754e-23,2.9973178922976096e-22,122119219.07136782,0
host_odes,2,mT,9.236828326332422,15.94164977155911,1.7258791880012325,0.03184857412333373,0.027679972804160912,41.354113435035025,0.000669340254353268,0.028265387837021146,0.00035119632418068047,0.012424960385941326,1.2159448235557408e-05,0.027679972804160912,26.088462680435853,1
host_odes,3,cT,39.26208758072097,8.688000177293768,0.22128217607969605,0.020710927928181317,14.345199394118,47.976514024430486,0.29900462102798614,40.34724696454765,0.0813038220785706,0.0020151020997791667,0.002814403745593909,40.21014929487769,16.248588686135683,1
host_odes,4,zT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,5,pT,595.565685264427,10.928886136471123,0.01835042952754868,0.04393943319732333,509.900253355542,597.7554718914761,0.8530248192326306,597.7554718914761,0.0,0.0,0.0,597.7554718914761,532.3166395840326,0
host_odes,6,mE,9.236828326332416,15.941649771559105,1.725879188001233,0.0318485741233344,0.027679972804162685,41.354113435035025,0.0006693402543533108,0.028265387837021847,0.0003511963241796258,0.012424960385903705,1.2159448235516024e-05,0.027679972804162685,26.088462680435665,1
host_odes,7,cE,39.262087580721136,8.6880001772938,0.22128217607969594,0.020710927928179773,14.3451993941181,47.976514024430486,0.29900462102798825,40.34724696455023,0.08130382207855746,0.002015102099778712,0.0028144037455934473,40.21014929488027,16.248588686135545,1
host_odes,8,zE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,9,pE,595.5656852644222,10.92888613647119,0.01835042952754894,0.043939433197319085,509.900253355544,597.7554718914713,0.8530248192326407,597.7554718914713,0.0,0.0,0.0,597.7554718914713,532.3166395840273,0
host_odes,10,mH,1636.6547355248185,2819.354338848207,1.7226323167935211,5.40688465410577,4.853128180079464,7252.924769042249,0.0006691270535157254,4.955768967087638,0.06157523309977355,0.012424960386308545,0.002131915421418832,4.853128180079464,4974.436632611394,0
host_odes,11,cH,6894.132063802453,1498.1092132245965,0.2173020765137933,3.495748254031633,2787.58939520311,8411.719778779108,0.33139351625045527,7074.0806942838935,14.254994860858364,0.0020151020997508412,0.4934492611074056,7050.043367051104,3104.447016542883,0
host_odes,12,zH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,13,pH,112996.99086559012,1720.0019725147924,0.015221661739300068,7.128511579452468,99084.8924308509,113334.51188927268,0.8742693710778621,113334.51188927266,1.4551915228366852e-11,1.2839791680211241e-16,1.0913936421275138e-12,113334.51188927268,103038.75508436041,0
host_odes,14,mR,1537.524920601397,3165.4670053412906,2.0588069584609583,7.8261387969467835,0.14951303077940506,9274.032043080197,1.6121685808921043e-05,0.15267514283946762,0.0018969826017559046,0.012424960386237123,6.567910926625776e-05,0.14951303077940506,5364.400101066374,0
host_odes,15,cR,1166.4568449236351,1841.0325600874864,1.5783117636109483,3.1755780529086937,217.19462413146616,6561.50164444711,0.03310135939922766,217.9351554986723,0.4391615894544275,0.002015102099748661,0.015201967025508729,217.19462413146616,6081.265062301286,0
host_odes,16,zR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,17,pR,0.0008296153682654253,0.0012265346494307727,1.4784377132704225,9.476625143253226e-06,6.836500676765607e-07,0.0169230409369701,4.039764899124354e-05,0.0014412224656234283,1.4999265361338636e-05,0.010407321359956109,5.192128430488785e-07,0.0014665148107430958,0.005705163481277757,1
host_odes,18,rr,898984.5606524444,231390.05551622392,0.25739046658186315,476.02539958093575,37575.7368810624,990498.4494287834,0.03793618950411501,990498.4494034908,1.4999291953282754e-05,1.5143175602461363e-11,5.192143737804157e-07,990498.4494287834,63058.444091231766,0
host_odes,19,R,674.8776862921109,529.8403202923643,0.7850908854364314,0.7266199455871964,0.5304977600947143,1452.5806466139197,0.00036521053845261267,1427.5286179649274,14.856749097800272,0.010407321374040063,0.5142795164765088,1452.5806466139197,1.383307950552429,0
host_odes,20,mG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,21,cG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,22,zG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,23,pG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,24,xS,100000.0,3160696.1258558217,31.606961258558215,74925.0,0.0,100000000.0,1e-20,0.0,0.0,0.0,0.0,0.0,4000000.0,0
host_odes,25,N,5025.481598382247,408.09931746547545,0.08120601169783342,2.082434829332639,1000.0,5098.705610021874,0.1961282090957416,5098.705610021874,0.0,0.0,6.821210263296962e-14,5098.705610021874,2714.108169786692,0
